Day,PV power generation in kW,Wind power generation in kW
2015-12-31 00:00:00-06:00,-0.004922222222222223,0.08883333333333333
2015-12-31 01:00:00-06:00,-0.004733333333333333,0.049999999999999996
2015-12-31 02:00:00-06:00,-0.004833333333333334,0.06733333333333334
2015-12-31 03:00:00-06:00,-0.004955555555555556,0.07400000000000001
2015-12-31 04:00:00-06:00,-0.004833333333333334,0.08166666666666667
2015-12-31 05:00:00-06:00,-0.004844444444444445,0.1355
2015-12-31 06:00:00-06:00,-0.005233333333333334,0.19083333333333333
2015-12-31 07:00:00-06:00,0.007911111111111114,0.3698333333333334
2015-12-31 08:00:00-06:00,0.17216666666666666,0.25233333333333335
2015-12-31 09:00:00-06:00,0.518411111111111,0.3811666666666667
2015-12-31 10:00:00-06:00,0.8142999999999999,0.458
2015-12-31 11:00:00-06:00,1.220088888888889,0.4175
2015-12-31 12:00:00-06:00,1.748566666666667,0.3531666666666667
2015-12-31 13:00:00-06:00,2.1277111111111116,0.29316666666666663
2015-12-31 14:00:00-06:00,2.458355555555556,0.25383333333333336
2015-12-31 15:00:00-06:00,1.6375222222222223,0.1968333333333333
2015-12-31 16:00:00-06:00,0.8064555555555556,0.10683333333333334
2015-12-31 17:00:00-06:00,0.25661111111111107,0.04
2015-12-31 18:00:00-06:00,-0.007522222222222223,0.07050000000000001
2015-12-31 19:00:00-06:00,0.03166666666666667,0.050666666666666665
2015-12-31 20:00:00-06:00,-0.004322222222222222,0.066
2015-12-31 21:00:00-06:00,-0.004522222222222222,0.085
2015-12-31 22:00:00-06:00,-0.004166666666666667,0.06116666666666667
2015-12-31 23:00:00-06:00,-0.004833333333333334,0.07250000000000001
